FIRST_NAME,MIDDLE_NAME,LAST_NAME,SSN,Credit_cardNO,APT_NO,STREET_NAME,CUST_CITY,CUST_STATE,CUST_COUNTRY,CUST_ZIP,CUST_PHONE,CUST_EMAIL
Layla,James,Wall,527138690,3056930000000004,APT845,Frosted Hill Path,Boston,MA,USA,02127,6172093842,layla.wall@postservice.info
Eleanor,Adam,Rivers,615482903,5588711000000000,APT712,Misty Stream Court,San Jose,CA,USA,95123,4086723941,eleanor.rivers@mailstop.biz
Julian,Isla,Bishop,184962705,4025007020000000,APT349,Ravenwood Road,Detroit,MI,USA,48223,3138754910,julian.bishop@fastbiz.co
Aurora,Jacob,Summers,839271604,6011460000000003,APT486,Honeysuckle Lane,St. Louis,MO,USA,63129,3146782928,aurora.summers@quickstop.net
Caleb,Sophia,Bennett,264738190,6011818000000000,APT918,Hemlock Trail,Phoenix,AZ,USA,85085,6029392846,caleb.bennett@connectline.org
Sophia,James,Wells,982761085,6011722233445566,APT990,Pine Haven Path,Columbus,OH,USA,43220,6145632765,sophia.wells@domain.com
Ryan,Ella,Grayson,238647982,6011444455556666,APT112,Rosewood Lane,Portland,ME,USA,04101,2077654321,ryan.grayson@example.com
Holly,William,Reed,729341865,378736494948484,APT559,Sunrise Avenue,Denver,CO,USA,80231,3034567892,holly.reed@fastmail.net
Mason,Scarlett,Hughes,349876543,6011467890123456,APT880,Cedarwood Way,Boston,MA,USA,02115,6174567894,mason.hughes@mailhub.com
Eli,Victoria,Peters,918273645,3555566667778888,APT512,Hickory Drive,Nashville,TN,USA,37211,6153421867,eli.peters@newwave.co
Aurora,Oliver,Daniels,546738910,6011899001234567,APT401,Autumn Ridge Lane,Charlotte,NC,USA,28262,7049381627,aurora.daniels@mailhub.net
Carter,Isabelle,Stewart,172938456,4539871234567890,APT333,Hemlock Trail,Phoenix,AZ,USA,85085,6029312746,carter.stewart@domain.info
Alice,Benjamin,Hale,829374615,6011991122334455,APT712,Rainbow Drive,Dallas,TX,USA,75220,2148329187,alice.hale@domain.us
Gavin,Emily,Stone,298176534,6011467891230987,APT112,Cobblestone Path,Orlando,FL,USA,32817,4075768392,gavin.stone@example.com
Scarlett,James,Cook,492817634,6011911122334455,APT649,Pineview Lane,Memphis,TN,USA,38125,9012639475,scarlett.cook@connected.us
Elena,Nicholas,Foster,839471205,6011222333445566,APT715,Havenwood Lane,Boston,MA,USA,02119,6173942058,elena.foster@urbanmail.com
Daniel,Sophia,Hayden,482916735,6011555566667777,APT504,Ridge Lane,Seattle,WA,USA,98115,2063829475,daniel.hayden@messagehub.co
Chloe,Owen,Richardson,937481205,6011777888999000,APT110,Cherry Blossom Path,Raleigh,NC,USA,27610,9192748325,chloe.richardson@cloudmail.com
Isaac,Abigail,Hunter,291837465,6011999888776655,APT360,Maple Drive,San Jose,CA,USA,95120,4087321965,isaac.hunter@mailbase.com
Leah,Joshua,Cooper,819374261,6011223344556677,APT540,Spruce Hollow,Baltimore,MD,USA,21211,4103947523,leah.cooper@example.biz
Jayden,Amelia,Bishop,374291583,6011777888999001,APT732,Willow Trail,New Orleans,LA,USA,70112,5048271934,jayden.bishop@network.us
Evelyn,Lucas,Monroe,918234765,6011333444555667,APT329,Hickory Lane,Columbus,OH,USA,43215,6149361724,evelyn.monroe@fastline.net
Nora,Ethan,Griffin,563728914,6011667788992201,APT275,Pine Hill,Orlando,FL,USA,32835,4072394875,nora.griffin@openworld.org
Matthew,Lily,Adams,782391654,6011000012345678,APT497,Silver Moon Drive,Houston,TX,USA,77003,7133948127,matthew.adams@sharedmail.co
Lila,Andrew,Reeves,482914763,6011445566778899,APT823,Goldenrod Court,Denver,CO,USA,80239,3038765492,lila.reeves@mailpoint.biz
